股票代码,股票名称,信号日期,收盘价,MACD评分,成交量比率,MA60距离%,评级,补充特征分,买入理由
sh.600371,万向德农,2026-02-03,9.64,85,7.47,6.53,B级,20,📈 MACD强势上涨(85分)，多项指标优秀 | 💪 成交量剧烈放大(7.47倍)，资金大量介入 | 🎯 低位启动(距60日均线6.53%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sh.600199,金种子酒,2026-02-03,10.71,80,7.06,11.06,B级,20,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量剧烈放大(7.06倍)，资金大量介入 | 🎯 低位启动(距60日均线11.06%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sz.301222,浙江恒威,2026-02-06,34.26,100,6.31,18.35,B级,20,📈 MACD强势上涨(100分)，多项指标优秀 | 💪 成交量剧烈放大(6.31倍)，资金大量介入 | 🎯 低位启动(距60日均线18.35%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sh.603826,坤彩科技,2026-02-09,19.78,100,4.14,15.63,A级,35,📈 MACD强势上涨(100分)，多项指标优秀 | 💪 成交量剧烈放大(4.14倍)，资金大量介入 | 🎯 低位启动(距60日均线15.63%)，未追高 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sh.603317,天味食品,2026-02-09,14.3,100,4.42,12.69,B级,20,📈 MACD强势上涨(100分)，多项指标优秀 | 💪 成交量剧烈放大(4.42倍)，资金大量介入 | 🎯 低位启动(距60日均线12.69%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sz.000998,隆平高科,2026-02-03,10.04,85,4.67,5.82,B级,20,📈 MACD强势上涨(85分)，多项指标优秀 | 💪 成交量剧烈放大(4.67倍)，资金大量介入 | 🎯 低位启动(距60日均线5.82%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sz.002644,佛慈制药,2026-02-06,9.63,85,4.33,22.74,B级,25,📈 MACD强势上涨(85分)，多项指标优秀 | 💪 成交量剧烈放大(4.33倍)，资金大量介入 | 🎯 低位启动(距60日均线22.74%)，未追高 | ⭐ B级关注(综合25分)，部分补充指标良好
sz.301036,双乐股份,2026-02-09,35.71,80,4.67,8.1,B级,20,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量剧烈放大(4.67倍)，资金大量介入 | 🎯 低位启动(距60日均线8.10%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sz.000822,山东海化,2026-02-09,6.63,80,4.43,20.76,B级,25,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量剧烈放大(4.43倍)，资金大量介入 | 🎯 低位启动(距60日均线20.76%)，未追高 | ⭐ B级关注(综合25分)，部分补充指标良好
sz.002137,实益达,2026-02-03,9.81,100,3.9,9.89,B级,20,📈 MACD强势上涨(100分)，多项指标优秀 | 💪 成交量剧烈放大(3.90倍)，资金大量介入 | 🎯 低位启动(距60日均线9.89%)，未追高 | ⭐ B级关注(综合20分)，部分补充指标良好
sz.000056,皇庭国际,2026-02-09,2.19,60,4.45,12.8,A级,35,📈 MACD显示上涨信号(60分) | 💪 成交量剧烈放大(4.45倍)，资金大量介入 | 🎯 低位启动(距60日均线12.80%)，未追高 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sz.002880,卫光生物,2026-02-09,28.35,65,4.54,10.21,B级,25,📈 MACD上涨趋势明确(65分)，金叉信号良好 | 💪 成交量剧烈放大(4.54倍)，资金大量介入 | 🎯 低位启动(距60日均线10.21%)，未追高 | ⭐ B级关注(综合25分)，部分补充指标良好
