股票代码,股票名称,信号日期,收盘价,MACD评分,成交量比率,MA60距离%,评级,补充特征分,买入理由
sz.002069,獐子岛,2026-02-04,3.94,80,1.56,-0.9,A级,60,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.56倍) | 🎯 临界突破位置(距60日均线-0.90%)，最佳买入点 | ⭐ A级推荐(综合60分)，多项补充指标优秀
sz.002528,ST英飞拓,2026-02-09,2.61,80,2.23,-4.11,A级,35,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量放大(2.23倍)，交易升温 | 🎯 低位启动(距60日均线-4.11%)，未追高 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sh.600809,山西汾酒,2026-02-02,173.5,60,2.73,-0.14,A级,35,📈 MACD显示上涨信号(60分) | 💪 成交量明显放大(2.73倍)，交投活跃 | 🎯 临界突破位置(距60日均线-0.14%)，最佳买入点 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sz.000056,皇庭国际,2026-02-05,2.07,15,3.44,-4.25,A级,50,📈 MACD显示上涨信号(15分) | 💪 成交量剧烈放大(3.44倍)，资金大量介入 | 🎯 低位启动(距60日均线-4.25%)，未追高 | ⭐ A级推荐(综合50分)，多项补充指标优秀
sh.603323,苏农银行,2026-02-05,5.1,60,1.53,-0.13,A级,60,📈 MACD显示上涨信号(60分) | 💪 成交量温和放大(1.53倍) | 🎯 临界突破位置(距60日均线-0.13%)，最佳买入点 | ⭐ A级推荐(综合60分)，多项补充指标优秀
sz.000029,深深房A,2026-02-04,22.84,80,1.84,0.31,A级,35,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.84倍) | 🎯 临界突破位置(距60日均线0.31%)，最佳买入点 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sz.002321,华英农业,2026-02-03,2.44,45,2.27,-3.08,A级,45,📈 MACD显示上涨信号(45分) | 💪 成交量放大(2.27倍)，交易升温 | 🎯 低位启动(距60日均线-3.08%)，未追高 | ⭐ A级推荐(综合45分)，多项补充指标优秀
sh.601963,重庆银行,2026-02-09,10.72,80,1.78,-0.6,A级,30,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.78倍) | 🎯 临界突破位置(距60日均线-0.60%)，最佳买入点 | ⭐ A级推荐(综合30分)，多项补充指标优秀
sh.600129,太极集团,2026-02-09,18.11,80,1.76,-1.39,A级,30,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.76倍) | 🎯 临界突破位置(距60日均线-1.39%)，最佳买入点 | ⭐ A级推荐(综合30分)，多项补充指标优秀
sh.603536,惠发食品,2026-02-09,11.28,65,1.58,-5.93,A级,45,📈 MACD上涨趋势明确(65分)，金叉信号良好 | 💪 成交量温和放大(1.58倍) | 🎯 低位启动(距60日均线-5.93%)，未追高 | ⭐ A级推荐(综合45分)，多项补充指标优秀
sz.000517,荣安地产,2026-02-03,1.85,65,1.37,-2.76,A级,50,📈 MACD上涨趋势明确(65分)，金叉信号良好 | 💪 成交量温和放大(1.37倍) | 🎯 临界突破位置(距60日均线-2.76%)，最佳买入点 | ⭐ A级推荐(综合50分)，多项补充指标优秀
sh.603589,口子窖,2026-02-04,29.92,80,1.64,-0.86,A级,30,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.64倍) | 🎯 临界突破位置(距60日均线-0.86%)，最佳买入点 | ⭐ A级推荐(综合30分)，多项补充指标优秀
sh.601997,贵阳银行,2026-02-09,5.89,80,1.31,-0.2,A级,35,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.31倍) | 🎯 临界突破位置(距60日均线-0.20%)，最佳买入点 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sz.300856,科思股份,2026-02-09,14.07,80,1.3,-1.79,A级,35,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.30倍) | 🎯 临界突破位置(距60日均线-1.79%)，最佳买入点 | ⭐ A级推荐(综合35分)，多项补充指标优秀
sh.600322,津投城开,2026-02-04,2.37,60,1.3,-1.59,A级,50,📈 MACD显示上涨信号(60分) | 💪 成交量温和放大(1.30倍) | 🎯 临界突破位置(距60日均线-1.59%)，最佳买入点 | ⭐ A级推荐(综合50分)，多项补充指标优秀
sh.600180,瑞茂通,2026-02-09,3.77,80,0.68,-4.56,A级,50,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(0.68倍) | 🎯 低位启动(距60日均线-4.56%)，未追高 | ⭐ A级推荐(综合50分)，多项补充指标优秀
sz.002807,江阴银行,2026-02-05,4.66,60,1.25,-0.06,A级,50,📈 MACD显示上涨信号(60分) | 💪 成交量温和放大(1.25倍) | 🎯 临界突破位置(距60日均线-0.06%)，最佳买入点 | ⭐ A级推荐(综合50分)，多项补充指标优秀
sh.600573,惠泉啤酒,2026-02-09,12.09,80,1.24,-0.33,A级,35,📈 MACD强势上涨(80分)，多项指标优秀 | 💪 成交量温和放大(1.24倍) | 🎯 临界突破位置(距60日均线-0.33%)，最佳买入点 | ⭐ A级推荐(综合35分)，多项补充指标优秀
