stock,	Best recommendation buy day
sh.600371,	not recommended #价格已经上涨过高，没有很好的买入机会，另外，成交量已经被透支，上涨力量不足。如果一开始放量时，力量比较足一些。
sh.600199,	not recommended #价格已经上涨过高，没有很好的买入机会，而且，在此之前突然放量，价格上涨过快，机会不易把握
sz.301222,	not recommended #原本推荐的2月6日买入时点，价格已经上涨过高，没有很好的买入机会。在此之前，也没有合适的买入机会
sh.603826,	not recommended #原本推荐的2月9日价格已经过高，没有很好的买入机会。在此之前，上涨速度过快，也没有合适的买入机会
sh.603317,	not recommended #价格已经上涨过高，最低价早早的突破了MA20，再买入风险较高。
sz.000998,	20260128 #0128刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有一天，获得稳定安全的收益
sz.002644,	20260202 #0202刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有一天，获得稳定安全的收益
sz.301036,	20260204 #204刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有2天，获得稳定安全的收益
sz.000822,	20260204 #0204是放量后的收涨，而且，价格都低于MA线，买入获利空间较大，而且风险较小。
sz.002137,	20260127 #0127刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有一天，获得稳定安全的收益
sz.000056,	20260204 #0204是放量后的收涨，而且，价格都低于MA线，买入获利空间较大，而且风险较小。
sz.002880,	not recommended #成交量扩大时，价格已经都高于MA线，买入风险较大
sz.002441,	not recommended #成交量扩大时，价格已经都高于MA线，买入风险较大
sh.603848,	20260129 #0129刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有2天，获得稳定安全的收益
sz.301210,	not recommended #成交量扩大时，价格已经都高于MA线，买入风险较大
sh.600072,	20260202 #0202刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有一天，获得稳定安全的收益
sh.600684,	not recommended #虽然符合MACD上涨趋势，成交量扩大，最低价格未超过MA线，但是唯一适合买入的时间是0129，当天涨停，价格已经过高，没有很好的买入机会
sz.000999,	20260205 #0205刚刚放量，最低价未突破MA20,假如买入的话，可以安全持有一天，获得稳定安全的收益
sz.300985,	not recommended #虽然符合MACD上涨趋势，成交量扩大，最低价格未超过MA线，但是唯一适合买入的时间是0204，当天涨停，价格已经过高，没有很好的买入机会
sz.000719,	not recommended #唯一相对比较适合的买入点是0106，（MACD上升趋势，放量）但是最低价格也已经超过MA线。买入风险较大。
